tales	similarity (overlap of top 10 nouns)
('11. Brüderchen und Schwesterchen .', '72. Der Wolf und der Mensch .')	1
('11. Brüderchen und Schwesterchen .', '73. Der Wolf und der Fuchs .')	1
('11. Brüderchen und Schwesterchen .', '75. Der Fuchs und die Katze .')	1
('11. Brüderchen und Schwesterchen .', '83. Hans im Glück .')	1
('11. Brüderchen und Schwesterchen .', '84. Hans heirathet .')	1
('11. Brüderchen und Schwesterchen .', '85. Die Goldkinder .')	1
('12. Rapunzel .', '14. Die drei Spinnerinnen .')	1
('12. Rapunzel .', '17. Die weiße Schlange .')	1
('12. Rapunzel .', '21. Aschenbuttel .')	1
('12. Rapunzel .', '22. Das Räthsel .')	1
('12. Rapunzel .', '23. Von dem Mäuschen , Vögelchen und der Bratwurst .')	1
('12. Rapunzel .', '25. Die sieben Raben .')	1
('12. Rapunzel .', '26. Rothkäppchen .')	1
('12. Rapunzel .', '32. Der gescheidte Hans .')	1
('12. Rapunzel .', '38. Die Hochzeit der Frau Füchsin .')	1
('12. Rapunzel .', '45. Daumerlings Wanderschaft .')	1
('12. Rapunzel .', '46. Fitchers Vogel .')	1
('12. Rapunzel .', '47. Von dem Machandelboom .')	1
('12. Rapunzel .', '53. Sneewittchen .')	1
('12. Rapunzel .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('12. Rapunzel .', '56. Der Liebste Roland .')	1
('12. Rapunzel .', '57. Der goldene Vogel .')	1
('12. Rapunzel .', '58. Der Hund und der Sperling .')	1
('12. Rapunzel .', '59. Der Frieder und das Catherlieschen .')	1
('12. Rapunzel .', '61. Das Bürle .')	1
('12. Rapunzel .', '63. Die drei Federn .')	1
('12. Rapunzel .', '64. Die goldene Gans .')	1
('12. Rapunzel .', '65. Allerleirauh .')	1
('12. Rapunzel .', '66. Häsichenbraut .')	1
('12. Rapunzel .', '68. De Gaudeif un sien Meester .')	1
('12. Rapunzel .', '69. Jorinde und Joringel .')	1
('12. Rapunzel .', '71. Sechse kommen durch die ganze Welt .')	1
('12. Rapunzel .', '73. Der Wolf und der Fuchs .')	1
('12. Rapunzel .', '74. Der Fuchs und die Frau Gevatterin .')	1
('12. Rapunzel .', '84. Hans heirathet .')	1
('12. Rapunzel .', '85. Die Goldkinder .')	1
('13. Die drei Männlein im Walde .', '17. Die weiße Schlange .')	1
('13. Die drei Männlein im Walde .', '21. Aschenbuttel .')	1
('13. Die drei Männlein im Walde .', '22. Das Räthsel .')	1
('13. Die drei Männlein im Walde .', '23. Von dem Mäuschen , Vögelchen und der Bratwurst .')	1
('13. Die drei Männlein im Walde .', '25. Die sieben Raben .')	1
('13. Die drei Männlein im Walde .', '27. Die Bremer Stadtmusikanten .')	1
('13. Die drei Männlein im Walde .', '28. Der singende Knochen .')	1
('13. Die drei Männlein im Walde .', '31. Das Mädchen ohne Hände .')	1
('13. Die drei Männlein im Walde .', '38. Die Hochzeit der Frau Füchsin .')	1
('13. Die drei Männlein im Walde .', '41. Herr Korbes .')	1
('13. Die drei Männlein im Walde .', '44. Der Gevatter Tod .')	1
('13. Die drei Männlein im Walde .', '45. Daumerlings Wanderschaft .')	1
('13. Die drei Männlein im Walde .', '46. Fitchers Vogel .')	1
('13. Die drei Männlein im Walde .', '47. Von dem Machandelboom .')	1
('13. Die drei Männlein im Walde .', '56. Der Liebste Roland .')	1
('13. Die drei Männlein im Walde .', '57. Der goldene Vogel .')	1
('13. Die drei Männlein im Walde .', '58. Der Hund und der Sperling .')	1
('13. Die drei Männlein im Walde .', '60. Die zwei Brüder .')	1
('13. Die drei Männlein im Walde .', '63. Die drei Federn .')	1
('13. Die drei Männlein im Walde .', '66. Häsichenbraut .')	1
('13. Die drei Männlein im Walde .', '67. Die zwölf Jäger .')	1
('13. Die drei Männlein im Walde .', '68. De Gaudeif un sien Meester .')	1
('13. Die drei Männlein im Walde .', '69. Jorinde und Joringel .')	1
('13. Die drei Männlein im Walde .', '70. Die drei Glückskinder .')	1
('13. Die drei Männlein im Walde .', '71. Sechse kommen durch die ganze Welt .')	1
('13. Die drei Männlein im Walde .', '73. Der Wolf und der Fuchs .')	1
('13. Die drei Männlein im Walde .', '74. Der Fuchs und die Frau Gevatterin .')	1
('13. Die drei Männlein im Walde .', '75. Der Fuchs und die Katze .')	1
('13. Die drei Männlein im Walde .', '79. Die Wassernixe .')	1
('13. Die drei Männlein im Walde .', '80. Von dem Tode des Hühnchens .')	1
('13. Die drei Männlein im Walde .', '81. Bruder Lustig .')	1
('13. Die drei Männlein im Walde .', '84. Hans heirathet .')	1
('14. Die drei Spinnerinnen .', '16. Die drei Schlangenblätter .')	1
('14. Die drei Spinnerinnen .', '21. Aschenbuttel .')	1
('14. Die drei Spinnerinnen .', '23. Von dem Mäuschen , Vögelchen und der Bratwurst .')	1
('14. Die drei Spinnerinnen .', '26. Rothkäppchen .')	1
('14. Die drei Spinnerinnen .', '29. Der Teufel mit den drei goldenen Haaren .')	1
('14. Die drei Spinnerinnen .', '31. Das Mädchen ohne Hände .')	1
('14. Die drei Spinnerinnen .', '40. Der Räuberbräutigam .')	1
('14. Die drei Spinnerinnen .', '43. Frau Trude .')	1
('14. Die drei Spinnerinnen .', '52. König Drosselbart .')	1
('14. Die drei Spinnerinnen .', '53. Sneewittchen .')	1
('14. Die drei Spinnerinnen .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('14. Die drei Spinnerinnen .', '69. Jorinde und Joringel .')	1
('14. Die drei Spinnerinnen .', '73. Der Wolf und der Fuchs .')	1
('14. Die drei Spinnerinnen .', '76. Die Nelke .')	1
('14. Die drei Spinnerinnen .', 'full corpus')	1
('15. Hänsel und Grethel .', '19. Von dem Fischer un syner Fru .')	1
('15. Hänsel und Grethel .', '24. Frau Holle .')	1
('15. Hänsel und Grethel .', '28. Der singende Knochen .')	1
('15. Hänsel und Grethel .', '29. Der Teufel mit den drei goldenen Haaren .')	1
('15. Hänsel und Grethel .', '32. Der gescheidte Hans .')	1
('15. Hänsel und Grethel .', '36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .')	1
('15. Hänsel und Grethel .', '38. Die Hochzeit der Frau Füchsin .')	1
('15. Hänsel und Grethel .', '39. Die Wichtelmänner .')	1
('15. Hänsel und Grethel .', '41. Herr Korbes .')	1
('15. Hänsel und Grethel .', '42. Der Herr Gevatter .')	1
('15. Hänsel und Grethel .', '44. Der Gevatter Tod .')	1
('15. Hänsel und Grethel .', '47. Von dem Machandelboom .')	1
('15. Hänsel und Grethel .', '50. Dornröschen .')	1
('15. Hänsel und Grethel .', '52. König Drosselbart .')	1
('15. Hänsel und Grethel .', '53. Sneewittchen .')	1
('15. Hänsel und Grethel .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('15. Hänsel und Grethel .', '57. Der goldene Vogel .')	1
('15. Hänsel und Grethel .', '59. Der Frieder und das Catherlieschen .')	1
('15. Hänsel und Grethel .', '61. Das Bürle .')	1
('15. Hänsel und Grethel .', '63. Die drei Federn .')	1
('15. Hänsel und Grethel .', '64. Die goldene Gans .')	1
('15. Hänsel und Grethel .', '65. Allerleirauh .')	1
('15. Hänsel und Grethel .', '66. Häsichenbraut .')	1
('15. Hänsel und Grethel .', '67. Die zwölf Jäger .')	1
('15. Hänsel und Grethel .', '69. Jorinde und Joringel .')	1
('15. Hänsel und Grethel .', '73. Der Wolf und der Fuchs .')	1
('15. Hänsel und Grethel .', '74. Der Fuchs und die Frau Gevatterin .')	1
('15. Hänsel und Grethel .', '75. Der Fuchs und die Katze .')	1
('15. Hänsel und Grethel .', '76. Die Nelke .')	1
('15. Hänsel und Grethel .', '77. Das kluge Grethel .')	1
('15. Hänsel und Grethel .', '81. Bruder Lustig .')	1
('15. Hänsel und Grethel .', '84. Hans heirathet .')	1
('16. Die drei Schlangenblätter .', '17. Die weiße Schlange .')	1
('16. Die drei Schlangenblätter .', '23. Von dem Mäuschen , Vögelchen und der Bratwurst .')	1
('16. Die drei Schlangenblätter .', '25. Die sieben Raben .')	1
('16. Die drei Schlangenblätter .', '26. Rothkäppchen .')	1
('16. Die drei Schlangenblätter .', '28. Der singende Knochen .')	1
('16. Die drei Schlangenblätter .', '29. Der Teufel mit den drei goldenen Haaren .')	1
('16. Die drei Schlangenblätter .', '32. Der gescheidte Hans .')	1
('16. Die drei Schlangenblätter .', '36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .')	1
('16. Die drei Schlangenblätter .', '38. Die Hochzeit der Frau Füchsin .')	1
('16. Die drei Schlangenblätter .', '42. Der Herr Gevatter .')	1
('16. Die drei Schlangenblätter .', '44. Der Gevatter Tod .')	1
('16. Die drei Schlangenblätter .', '46. Fitchers Vogel .')	1
('16. Die drei Schlangenblätter .', '47. Von dem Machandelboom .')	1
('16. Die drei Schlangenblätter .', '48. Der alte Sultan .')	1
('16. Die drei Schlangenblätter .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('16. Die drei Schlangenblätter .', '58. Der Hund und der Sperling .')	1
('16. Die drei Schlangenblätter .', '59. Der Frieder und das Catherlieschen .')	1
('16. Die drei Schlangenblätter .', '61. Das Bürle .')	1
('16. Die drei Schlangenblätter .', '64. Die goldene Gans .')	1
('16. Die drei Schlangenblätter .', '66. Häsichenbraut .')	1
('16. Die drei Schlangenblätter .', '68. De Gaudeif un sien Meester .')	1
('16. Die drei Schlangenblätter .', '69. Jorinde und Joringel .')	1
('16. Die drei Schlangenblätter .', '73. Der Wolf und der Fuchs .')	1
('16. Die drei Schlangenblätter .', '74. Der Fuchs und die Frau Gevatterin .')	1
('16. Die drei Schlangenblätter .', '84. Hans heirathet .')	1
('16. Die drei Schlangenblätter .', '86. Der Fuchs und die Gänse .')	1
('17. Die weiße Schlange .', '19. Von dem Fischer un syner Fru .')	1
('17. Die weiße Schlange .', '20. Das tapfere Schneiderlein .')	1
('17. Die weiße Schlange .', '24. Frau Holle .')	1
('17. Die weiße Schlange .', '29. Der Teufel mit den drei goldenen Haaren .')	1
('17. Die weiße Schlange .', '37. Daumesdick .')	1
('17. Die weiße Schlange .', '50. Dornröschen .')	1
('17. Die weiße Schlange .', '52. König Drosselbart .')	1
('17. Die weiße Schlange .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('17. Die weiße Schlange .', '55. Rumpelstilzchen .')	1
('17. Die weiße Schlange .', '58. Der Hund und der Sperling .')	1
('17. Die weiße Schlange .', '60. Die zwei Brüder .')	1
('17. Die weiße Schlange .', '63. Die drei Federn .')	1
('17. Die weiße Schlange .', '64. Die goldene Gans .')	1
('17. Die weiße Schlange .', '65. Allerleirauh .')	1
('17. Die weiße Schlange .', '67. Die zwölf Jäger .')	1
('17. Die weiße Schlange .', '68. De Gaudeif un sien Meester .')	1
('17. Die weiße Schlange .', '70. Die drei Glückskinder .')	1
('17. Die weiße Schlange .', '71. Sechse kommen durch die ganze Welt .')	1
('17. Die weiße Schlange .', '76. Die Nelke .')	1
('17. Die weiße Schlange .', '83. Hans im Glück .')	1
('17. Die weiße Schlange .', '85. Die Goldkinder .')	1
('17. Die weiße Schlange .', '86. Der Fuchs und die Gänse .')	1
('18. Strohhalm , Kohle und Bohne .', '23. Von dem Mäuschen , Vögelchen und der Bratwurst .')	1
('18. Strohhalm , Kohle und Bohne .', '28. Der singende Knochen .')	1
('18. Strohhalm , Kohle und Bohne .', '52. König Drosselbart .')	1
('18. Strohhalm , Kohle und Bohne .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('18. Strohhalm , Kohle und Bohne .', '77. Das kluge Grethel .')	1
('19. Von dem Fischer un syner Fru .', '31. Das Mädchen ohne Hände .')	1
('19. Von dem Fischer un syner Fru .', '38. Die Hochzeit der Frau Füchsin .')	1
('19. Von dem Fischer un syner Fru .', '42. Der Herr Gevatter .')	1
('19. Von dem Fischer un syner Fru .', '43. Frau Trude .')	1
('19. Von dem Fischer un syner Fru .', '44. Der Gevatter Tod .')	1
('19. Von dem Fischer un syner Fru .', '45. Daumerlings Wanderschaft .')	1
('19. Von dem Fischer un syner Fru .', '46. Fitchers Vogel .')	1
('19. Von dem Fischer un syner Fru .', '48. Der alte Sultan .')	1
('19. Von dem Fischer un syner Fru .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('19. Von dem Fischer un syner Fru .', '55. Rumpelstilzchen .')	1
('19. Von dem Fischer un syner Fru .', '57. Der goldene Vogel .')	1
('19. Von dem Fischer un syner Fru .', '58. Der Hund und der Sperling .')	1
('19. Von dem Fischer un syner Fru .', '59. Der Frieder und das Catherlieschen .')	1
('19. Von dem Fischer un syner Fru .', '60. Die zwei Brüder .')	1
('19. Von dem Fischer un syner Fru .', '61. Das Bürle .')	1
('19. Von dem Fischer un syner Fru .', '62. Die Bienenkönigin .')	1
('19. Von dem Fischer un syner Fru .', '63. Die drei Federn .')	1
('19. Von dem Fischer un syner Fru .', '66. Häsichenbraut .')	1
('19. Von dem Fischer un syner Fru .', '68. De Gaudeif un sien Meester .')	1
('19. Von dem Fischer un syner Fru .', '70. Die drei Glückskinder .')	1
('19. Von dem Fischer un syner Fru .', '71. Sechse kommen durch die ganze Welt .')	1
('19. Von dem Fischer un syner Fru .', '74. Der Fuchs und die Frau Gevatterin .')	1
('19. Von dem Fischer un syner Fru .', '84. Hans heirathet .')	1
('19. Von dem Fischer un syner Fru .', '85. Die Goldkinder .')	1
('20. Das tapfere Schneiderlein .', '26. Rothkäppchen .')	1
('20. Das tapfere Schneiderlein .', '28. Der singende Knochen .')	1
('20. Das tapfere Schneiderlein .', '31. Das Mädchen ohne Hände .')	1
('20. Das tapfere Schneiderlein .', '36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .')	1
('20. Das tapfere Schneiderlein .', '38. Die Hochzeit der Frau Füchsin .')	1
('20. Das tapfere Schneiderlein .', '40. Der Räuberbräutigam .')	1
('20. Das tapfere Schneiderlein .', '42. Der Herr Gevatter .')	1
('20. Das tapfere Schneiderlein .', '43. Frau Trude .')	1
('20. Das tapfere Schneiderlein .', '44. Der Gevatter Tod .')	1
('20. Das tapfere Schneiderlein .', '45. Daumerlings Wanderschaft .')	1
('20. Das tapfere Schneiderlein .', '46. Fitchers Vogel .')	1
('20. Das tapfere Schneiderlein .', '47. Von dem Machandelboom .')	1
('20. Das tapfere Schneiderlein .', '49. Die sechs Schwäne .')	1
('20. Das tapfere Schneiderlein .', '51. Fundevogel .')	1
('20. Das tapfere Schneiderlein .', '55. Rumpelstilzchen .')	1
('20. Das tapfere Schneiderlein .', '57. Der goldene Vogel .')	1
('20. Das tapfere Schneiderlein .', '58. Der Hund und der Sperling .')	1
('20. Das tapfere Schneiderlein .', '59. Der Frieder und das Catherlieschen .')	1
('20. Das tapfere Schneiderlein .', '60. Die zwei Brüder .')	1
('20. Das tapfere Schneiderlein .', '61. Das Bürle .')	1
('20. Das tapfere Schneiderlein .', '62. Die Bienenkönigin .')	1
('20. Das tapfere Schneiderlein .', '63. Die drei Federn .')	1
('20. Das tapfere Schneiderlein .', '66. Häsichenbraut .')	1
('20. Das tapfere Schneiderlein .', '68. De Gaudeif un sien Meester .')	1
('20. Das tapfere Schneiderlein .', '69. Jorinde und Joringel .')	1
('20. Das tapfere Schneiderlein .', '70. Die drei Glückskinder .')	1
('20. Das tapfere Schneiderlein .', '71. Sechse kommen durch die ganze Welt .')	1
('20. Das tapfere Schneiderlein .', '73. Der Wolf und der Fuchs .')	1
('20. Das tapfere Schneiderlein .', '74. Der Fuchs und die Frau Gevatterin .')	1
('20. Das tapfere Schneiderlein .', '83. Hans im Glück .')	1
('20. Das tapfere Schneiderlein .', '84. Hans heirathet .')	1
('21. Aschenbuttel .', '24. Frau Holle .')	1
('21. Aschenbuttel .', '25. Die sieben Raben .')	1
('21. Aschenbuttel .', '30. Läuschen und Flöhchen .')	1
('21. Aschenbuttel .', '32. Der gescheidte Hans .')	1
('21. Aschenbuttel .', '35. Der Schneider im Himmel .')	1
('21. Aschenbuttel .', '39. Die Wichtelmänner .')	1
('21. Aschenbuttel .', '40. Der Räuberbräutigam .')	1
('21. Aschenbuttel .', '43. Frau Trude .')	1
('21. Aschenbuttel .', '44. Der Gevatter Tod .')	1
('21. Aschenbuttel .', '46. Fitchers Vogel .')	1
('21. Aschenbuttel .', '49. Die sechs Schwäne .')	1
('21. Aschenbuttel .', '50. Dornröschen .')	1
('21. Aschenbuttel .', '55. Rumpelstilzchen .')	1
('21. Aschenbuttel .', '56. Der Liebste Roland .')	1
('21. Aschenbuttel .', '57. Der goldene Vogel .')	1
('21. Aschenbuttel .', '65. Allerleirauh .')	1
('21. Aschenbuttel .', '79. Die Wassernixe .')	1
('21. Aschenbuttel .', '80. Von dem Tode des Hühnchens .')	1
('21. Aschenbuttel .', '84. Hans heirathet .')	1
('22. Das Räthsel .', '24. Frau Holle .')	1
('22. Das Räthsel .', '25. Die sieben Raben .')	1
('22. Das Räthsel .', '30. Läuschen und Flöhchen .')	1
('22. Das Räthsel .', '35. Der Schneider im Himmel .')	1
('22. Das Räthsel .', '38. Die Hochzeit der Frau Füchsin .')	1
('22. Das Räthsel .', '40. Der Räuberbräutigam .')	1
('22. Das Räthsel .', '42. Der Herr Gevatter .')	1
('22. Das Räthsel .', '43. Frau Trude .')	1
('22. Das Räthsel .', '45. Daumerlings Wanderschaft .')	1
('22. Das Räthsel .', '48. Der alte Sultan .')	1
('22. Das Räthsel .', '49. Die sechs Schwäne .')	1
('22. Das Räthsel .', '52. König Drosselbart .')	1
('22. Das Räthsel .', '56. Der Liebste Roland .')	1
('22. Das Räthsel .', '57. Der goldene Vogel .')	1
('22. Das Räthsel .', '60. Die zwei Brüder .')	1
('22. Das Räthsel .', '61. Das Bürle .')	1
('22. Das Räthsel .', '65. Allerleirauh .')	1
('22. Das Räthsel .', '75. Der Fuchs und die Katze .')	1
('22. Das Räthsel .', '76. Die Nelke .')	1
('22. Das Räthsel .', '79. Die Wassernixe .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '26. Rothkäppchen .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '29. Der Teufel mit den drei goldenen Haaren .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '30. Läuschen und Flöhchen .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '32. Der gescheidte Hans .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '39. Die Wichtelmänner .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '42. Der Herr Gevatter .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '43. Frau Trude .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '46. Fitchers Vogel .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '47. Von dem Machandelboom .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '49. Die sechs Schwäne .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '50. Dornröschen .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '51. Fundevogel .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '57. Der goldene Vogel .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '58. Der Hund und der Sperling .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '61. Das Bürle .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '70. Die drei Glückskinder .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '73. Der Wolf und der Fuchs .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '77. Das kluge Grethel .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '78. Der alte Großvater und der Enkel .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '80. Von dem Tode des Hühnchens .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', '81. Bruder Lustig .')	1
('23. Von dem Mäuschen , Vögelchen und der Bratwurst .', 'full corpus')	1
('24. Frau Holle .', '25. Die sieben Raben .')	1
('24. Frau Holle .', '27. Die Bremer Stadtmusikanten .')	1
('24. Frau Holle .', '30. Läuschen und Flöhchen .')	1
('24. Frau Holle .', '41. Herr Korbes .')	1
('24. Frau Holle .', '46. Fitchers Vogel .')	1
('24. Frau Holle .', '49. Die sechs Schwäne .')	1
('24. Frau Holle .', '51. Fundevogel .')	1
('24. Frau Holle .', '59. Der Frieder und das Catherlieschen .')	1
('24. Frau Holle .', '67. Die zwölf Jäger .')	1
('24. Frau Holle .', '80. Von dem Tode des Hühnchens .')	1
('24. Frau Holle .', '83. Hans im Glück .')	1
('24. Frau Holle .', '85. Die Goldkinder .')	1
('24. Frau Holle .', 'full corpus')	1
('25. Die sieben Raben .', '28. Der singende Knochen .')	1
('25. Die sieben Raben .', '30. Läuschen und Flöhchen .')	1
('25. Die sieben Raben .', '31. Das Mädchen ohne Hände .')	1
('25. Die sieben Raben .', '34. Die kluge Else .')	1
('25. Die sieben Raben .', '36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .')	1
('25. Die sieben Raben .', '40. Der Räuberbräutigam .')	1
('25. Die sieben Raben .', '42. Der Herr Gevatter .')	1
('25. Die sieben Raben .', '45. Daumerlings Wanderschaft .')	1
('25. Die sieben Raben .', '48. Der alte Sultan .')	1
('25. Die sieben Raben .', '50. Dornröschen .')	1
('25. Die sieben Raben .', '53. Sneewittchen .')	1
('25. Die sieben Raben .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('25. Die sieben Raben .', '55. Rumpelstilzchen .')	1
('25. Die sieben Raben .', '57. Der goldene Vogel .')	1
('25. Die sieben Raben .', '60. Die zwei Brüder .')	1
('25. Die sieben Raben .', '62. Die Bienenkönigin .')	1
('25. Die sieben Raben .', '63. Die drei Federn .')	1
('25. Die sieben Raben .', '65. Allerleirauh .')	1
('25. Die sieben Raben .', '71. Sechse kommen durch die ganze Welt .')	1
('25. Die sieben Raben .', '74. Der Fuchs und die Frau Gevatterin .')	1
('25. Die sieben Raben .', '75. Der Fuchs und die Katze .')	1
('25. Die sieben Raben .', '76. Die Nelke .')	1
('25. Die sieben Raben .', '78. Der alte Großvater und der Enkel .')	1
('25. Die sieben Raben .', '79. Die Wassernixe .')	1
('25. Die sieben Raben .', '85. Die Goldkinder .')	1
('26. Rothkäppchen .', '28. Der singende Knochen .')	1
('26. Rothkäppchen .', '32. Der gescheidte Hans .')	1
('26. Rothkäppchen .', '35. Der Schneider im Himmel .')	1
('26. Rothkäppchen .', '37. Daumesdick .')	1
('26. Rothkäppchen .', '38. Die Hochzeit der Frau Füchsin .')	1
('26. Rothkäppchen .', '41. Herr Korbes .')	1
('26. Rothkäppchen .', '48. Der alte Sultan .')	1
('26. Rothkäppchen .', '50. Dornröschen .')	1
('26. Rothkäppchen .', '56. Der Liebste Roland .')	1
('26. Rothkäppchen .', '57. Der goldene Vogel .')	1
('26. Rothkäppchen .', '64. Die goldene Gans .')	1
('26. Rothkäppchen .', '75. Der Fuchs und die Katze .')	1
('26. Rothkäppchen .', '81. Bruder Lustig .')	1
('27. Die Bremer Stadtmusikanten .', '33. Die drei Sprachen .')	1
('27. Die Bremer Stadtmusikanten .', '38. Die Hochzeit der Frau Füchsin .')	1
('27. Die Bremer Stadtmusikanten .', '43. Frau Trude .')	1
('27. Die Bremer Stadtmusikanten .', '49. Die sechs Schwäne .')	1
('27. Die Bremer Stadtmusikanten .', '51. Fundevogel .')	1
('27. Die Bremer Stadtmusikanten .', '57. Der goldene Vogel .')	1
('27. Die Bremer Stadtmusikanten .', '58. Der Hund und der Sperling .')	1
('27. Die Bremer Stadtmusikanten .', '59. Der Frieder und das Catherlieschen .')	1
('27. Die Bremer Stadtmusikanten .', '70. Die drei Glückskinder .')	1
('27. Die Bremer Stadtmusikanten .', '81. Bruder Lustig .')	1
('27. Die Bremer Stadtmusikanten .', '85. Die Goldkinder .')	1
('27. Die Bremer Stadtmusikanten .', 'full corpus')	1
('28. Der singende Knochen .', '31. Das Mädchen ohne Hände .')	1
('28. Der singende Knochen .', '40. Der Räuberbräutigam .')	1
('28. Der singende Knochen .', '50. Dornröschen .')	1
('28. Der singende Knochen .', '51. Fundevogel .')	1
('28. Der singende Knochen .', '52. König Drosselbart .')	1
('28. Der singende Knochen .', '57. Der goldene Vogel .')	1
('28. Der singende Knochen .', '65. Allerleirauh .')	1
('28. Der singende Knochen .', '67. Die zwölf Jäger .')	1
('28. Der singende Knochen .', '69. Jorinde und Joringel .')	1
('28. Der singende Knochen .', '70. Die drei Glückskinder .')	1
('28. Der singende Knochen .', '71. Sechse kommen durch die ganze Welt .')	1
('28. Der singende Knochen .', '73. Der Wolf und der Fuchs .')	1
('28. Der singende Knochen .', '75. Der Fuchs und die Katze .')	1
('28. Der singende Knochen .', '77. Das kluge Grethel .')	1
('28. Der singende Knochen .', '81. Bruder Lustig .')	1
('28. Der singende Knochen .', '83. Hans im Glück .')	1
('28. Der singende Knochen .', '85. Die Goldkinder .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '30. Läuschen und Flöhchen .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '34. Die kluge Else .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '37. Daumesdick .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '38. Die Hochzeit der Frau Füchsin .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '39. Die Wichtelmänner .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '42. Der Herr Gevatter .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '45. Daumerlings Wanderschaft .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '47. Von dem Machandelboom .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '48. Der alte Sultan .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '51. Fundevogel .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '54. Der Ranzen , das Hütlein und das Hörnlein .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '55. Rumpelstilzchen .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '57. Der goldene Vogel .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '60. Die zwei Brüder .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '63. Die drei Federn .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '64. Die goldene Gans .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '65. Allerleirauh .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '66. Häsichenbraut .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '70. Die drei Glückskinder .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '74. Der Fuchs und die Frau Gevatterin .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '78. Der alte Großvater und der Enkel .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '80. Von dem Tode des Hühnchens .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '81. Bruder Lustig .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '84. Hans heirathet .')	1
('29. Der Teufel mit den drei goldenen Haaren .', '85. Die Goldkinder .')	1
('29. Der Teufel mit den drei goldenen Haaren .', 'full corpus')	1
('30. Läuschen und Flöhchen .', '40. Der Räuberbräutigam .')	1
('30. Läuschen und Flöhchen .', '42. Der Herr Gevatter .')	1
('30. Läuschen und Flöhchen .', '43. Frau Trude .')	1
('30. Läuschen und Flöhchen .', '49. Die sechs Schwäne .')	1
('30. Läuschen und Flöhchen .', '51. Fundevogel .')	1
('30. Läuschen und Flöhchen .', '55. Rumpelstilzchen .')	1
